id,dienst,platform,technologie,bewijsniveau,bron,bestemming,beperking,waargenomen_op,status
S12,"Publicaties, compost/GFT, asbestmateriaal en RMA-containers",Shopify,Minimal thema 12.6.0; jQuery 2.2.3; Cloudflare,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.myshopify.com/,Geen betaling; getoonde thema-/assetversies zijn geen volledige supportaudit,2026-09-06,concept
S13,KoopLokaalBon,Gift2Give,Angular 14.1.1; Webpack; Express-header; Cloudflare,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://shop.gift2give.be/nazarethdepinte,"Express-header beschrijft zichtbare serverlaag, niet volledige backend",2026-09-06,concept
S14,Recyclagepark De Pinte reserveren,Planyo,PHP-endpoint; jQuery; Bootstrap,direct,https://www.nazarethdepinte.be/reserveren,https://www.planyo.com/booking.php?calendar=53796,Route geldt voor De Pinte; niet veralgemenen naar elk recyclagepark,2026-09-06,concept
S15,Afvalkalender,Gemeentelijke website,PDF-download,direct,https://www.nazarethdepinte.be/leven-en-werken/afval-en-recyclage/ophaalkalender,,Gemeente-app heeft daarnaast afvalkalender volgens Digitaal Vlaanderen,2026-09-06,concept
S16,"Meldingen openbaar domein, sluikstort, ratten, zwerfkatten, hoornaar, feedback",Paddle / Drupal Webform,Multipart webform; conditionele velden afhankelijk van formulier,direct,https://www.nazarethdepinte.be/bestuur/burgerparticipatie/burgerinitiatieven/iets-melden,,Zes specifieke formulieren rechtstreeks gecontroleerd; interne routering en opvolging onbekend,2026-09-06,concept
S17,Afval niet opgehaald,IVM e-loket,Paddle / Drupal Webform,direct,https://www.nazarethdepinte.be/besturen/burgerparticipatie/burgerinitiatieven/iets-melden/afval-niet-opgehaald,https://www.ivmmilieubeheer.be/e-loket/meldingsformulier-over-inzamelingen,Geen melding verstuurd,2026-09-06,concept
S18,Defecte straatverlichting,Fluvius,IIS; jQuery; Bootstrap; Google Maps; ASP.NET MVC-signalen,direct / afgeleid,https://www.nazarethdepinte.be/besturen/burgerparticipatie/burgerinitiatieven/iets-melden/kapotte-straatlamp-melden,https://straatlampen.fluvius.be/,Serverframework afgeleid uit bundles en antiforgery-marker,2026-09-06,concept
S19,Gestorven dier,Gemeentelijke informatie / Rendac,Informatie en externe doorverwijzing,direct,https://www.nazarethdepinte.be/besturen/burgerparticipatie/burgerinitiatieven/iets-melden/gestorven-dier,https://www.rendac.be/hoe-kunnen-wij-u-helpen/particuliere-dierhouders/,Geen aparte gemeentelijke transactie aangetroffen op deze pagina,2026-09-06,concept
S20,"Container, stelling, parkeerverbod en signalisatie",Spotbooking / Geosparc,Angular 17.3.9; Webpack; MapLibre-code; nginx,direct,https://www.nazarethdepinte.be/leven-en-werken/mobiliteit-en-openbare-werken/inname-openbaar-domein/container-plaatsen,https://nazareth-depinte.spotbooking.be/#/aanvraag/new,Java/Spring Boot beschreven in leverancierscase; lokale backend niet vastgesteld,2026-09-06,concept
S21,"Evenement, buurtfeest, tocht en wedstrijd aanvragen",Paddle / Drupal Webform,Meerstappenformulier met uploads,direct,https://www.nazarethdepinte.be/form/aanvraagformulier-voor-evenement,,Pagina zegt in één keer invullen; geen verzending of autorisatie,2026-09-06,concept
S22,Verenigingssubsidies,Gemeentelijke website / formulieren,Drupal; startsubsidie verwijst naar /form/,direct,https://www.nazarethdepinte.be/vrije-tijd/organiseren/subsidies-organiseren/startsubsidie-vereniging,https://nazarethdepinte.be/form/startsubsidie-vereniging-aanvraa,Voorbeeld onderzocht; niet elke subsidieprocedure afzonderlijk gecontroleerd,2026-09-06,concept
S23,Omgevingsvergunning aanvragen en opvolgen,Vlaams Omgevingsloket,Bovenlokaal portaal; lokale frameworkkeuze niet van toepassing,officiële verwijzing,https://www.nazarethdepinte.be/leven-en-werken/bouwen-en-huisvesting/omgevingsvergunning/omgevingsvergunning-aanvragen,https://www.omgevingsloket.be/,Transactie-app niet technisch doorgelicht,2026-09-06,concept
S24,Openbare onderzoeken en vergunningsbeslissingen,Consultatieomgeving + Vlaams inzageloket,Gemeentelijke iframe; IIS 10; ASP.NET; jQuery/Bootstrap,direct,https://www.nazarethdepinte.be/bestuur/bekendmakingen/openbare-onderzoeken-en-beslissingen-omgevingsvergunningen,https://nazarethdepinte.consultatieomgeving.net/burger,Leverancier van consultatieomgeving niet onafhankelijk bevestigd; geen dossierinhoud opgenomen,2026-09-06,concept
S25,Vastgoedinformatie en bodemattest,VIP / Athumi; professionele routes IBOT en RealSmart,Bovenlokaal platform,officiële verwijzing,https://www.nazarethdepinte.be/bestuur/bekendmakingen/reglementen/vastgoedinformatie-aanvragen,https://vastgoedinformatieplatform.vlaanderen.be/info,Geen aanvraag; juridische toepassingsvoorwaarden niet beoordeeld,2026-09-06,concept
S26,"Agenda, besluiten en notulen",Cipal Schaubroeck raadpleegomgeving,jQuery; Bootstrap; Mustache; DataTables; Moment; Select2,direct,https://www.nazarethdepinte.be/bestuur/bekendmakingen/vergaderingen-van-de-raad,https://nazareth-depinte-raadpleegomgeving.csecho.be/,Server adverteert Cipal Schaubroeck; backendtaal onbekend,2026-09-06,concept
S27,Raad livestream en opnames,Streamovations,Vue; Vite; Pinia; Vue Router; nginx,direct,https://www.nazarethdepinte.be/bestuur/bekendmakingen/vergaderingen-van-de-raad,https://streamings.streamovations.be/nazareth-de-pinte/,Geen transcriptie of complete opnamecatalogus onderzocht,2026-09-06,concept
S28,Stratenplan,Geopunt / Digitaal Vlaanderen,Geopunt iframe; aanvullend PDF,direct,https://www.nazarethdepinte.be/vrije-tijd/over-nazareth-de-pinte/stratenplan,https://www.geopunt.be/embed/12dcb84f-9f1f-439f-a18a-befd9e28519f,Interne GIS-stack onbekend,2026-09-06,concept
S29,Voorschoolse opvang zoeken en aanvragen,Opvang.Vlaanderen / Cubitec,AngularJS-markup ng-app=koza; jQuery; Google Maps,direct + officiële leverancierslijst,https://www.nazarethdepinte.be/vrije-tijd/kinderen-en-jongeren/opvang-en-vakantie/kinderopvang-babys-en-peuters,https://opvang.vlaanderen/,Geen gezin of aanvraag aangemaakt,2026-09-06,concept
S30,Basisscholen centraal aanmelden,aanmelden.in,Apache; Phusion Passenger; jQuery; Bootstrap,direct,https://www.nazarethdepinte.be/vrije-tijd/kinderen-en-jongeren/onderwijs/centraal-aanmelden-voor-basisscholen,https://nazarethdepinte.aanmelden.in/,Passenger bewijst Ruby/Rails niet; algoritme en backend onbekend,2026-09-06,concept
S31,"Bibliotheek, catalogus en Mijn Bibliotheek",Cultuurconnect,Drupal 11 generator; library_portal_theme; Vue-zoekcomponent,direct,https://nazarethdepinte.bibliotheek.be/,,Wise is gedocumenteerde sectorinfrastructuur; lokale configuratie niet onderzocht,2026-09-06,concept
S32,Digitale bibliotheekdiensten,Cultuurconnect en contentpartners,Mijn Leestipper; Bieblo; Boekenzoeker; Fundels; cloudLibrary; Cinebib; GoPress-links,directe navigatie,https://nazarethdepinte.bibliotheek.be/,,Links geïnventariseerd; niet elke afzonderlijke dienst getest,2026-09-06,concept
S33,UiTagenda en activiteiten publiceren,publiq UiTdatabank / Drupal,Drupal zoekinterface; broninvoer via UiTdatabank,direct + officiële uitleg,https://www.nazarethdepinte.be/vrije-tijd/organiseren/evenement-aankondigen/jouw-activiteit-in-de-uitdatabank-0,https://www.uitdatabank.be/login/nl,Lokale importfrequentie onbekend,2026-09-06,concept
S34,Gemeentelijke vacatures en sollicitaties,Jobsolutions,iframe; jQuery; Apache; Rails-signalen niet afdoende,direct,https://www.nazarethdepinte.be/leven-en-werken/vacatures,https://www.jobsolutions.be/iframe/nazareth_de_pinte/vacatures,Geen sollicitatie of backendtoegang,2026-09-06,concept
S35,Jobs bij lokale werkgevers,Jobsin.Vlaanderen,Externe doorverwijzing,directe link,https://www.nazarethdepinte.be/leven-en-werken/vacatures,https://jobsin.vlaanderen/nazarethdepinte,Doelplatform niet afzonderlijk technisch geïnspecteerd,2026-09-06,concept
S36,Vrijwilligersvacatures,Give a Day,Ingebed giveaday_v1.js-script,direct,https://www.nazarethdepinte.be/vrije-tijd/vrijwilligerswerk/vrijwilligerswerk-zoeken,https://www.giveaday.be/assets/giveaday_v1.js,Interne matching en backend onbekend,2026-09-06,concept
S37,Nieuwsbriefinschrijving,MailPlus,MailPlus-embed; jQuery 3.6.0; jQuery UI 1.13.2; Validate 1.19.5,direct,https://www.nazarethdepinte.be/bestuur/communicatie/schrijf-in-voor-onze-nieuwsbrief,https://m14.mailplus.nl/genericservice/code/servlet/React,React in dit URL-pad bewijst geen React-framework,2026-09-06,concept
S38,Participatie en inspraakresultaten,Gemeentelijke website,Drupal informatiepaginas en PDF-rapporten,direct,https://www.nazarethdepinte.be/besturen/burgerparticipatie/inspraakprojecten,,Geen afzonderlijk participatie-SaaS aangetoond in onderzochte twee projecten,2026-09-06,concept
S39,Formele klachten,Gemeentelijke informatie en meldpunt,Drupal; verwijzing procedure en raadpleegomgeving,direct,https://www.nazarethdepinte.be/bestuur/bekendmakingen/reglementen/klacht-indienen,,Klachtenclassificatie blijft bij bevoegde menselijke behandelaar,2026-09-06,concept
S40,"Voorlezen, cookies, statistiek en lettertypes",ReadSpeaker; Matomo Cloud; Piwik PRO; Adobe Fonts,webReader; EU Cookie Compliance; scripts/configuratie; Typekit; Font Awesome 6.6.0,direct,https://www.nazarethdepinte.be/,,Script/configuratie-aanwezigheid bewijst niet dat elk trackerscript zonder toestemming actief is,2026-09-06,concept
